time	V(n001)	V(n002)
4.971078770049524e-002	5.000000e+000	5.869644e-001
4.992060101296709e-002	5.000000e+000	1.054183e+000
5.034022763791079e-002	5.000000e+000	1.833089e+000
5.101963131000161e-002	5.000000e+000	2.798409e+000
5.176625250786756e-002	5.000000e+000	3.535255e+000
5.270201468234592e-002	5.000000e+000	4.121369e+000
5.370201468234592e-002	5.000000e+000	4.500034e+000
5.470201468234592e-002	5.000000e+000	4.717411e+000
5.570201468234592e-002	5.000000e+000	4.840276e+000
5.670201468234593e-002	5.000000e+000	4.916257e+000
5.675100000000000e-002	5.000000e+000	4.918894e+000
5.704491190592447e-002	5.000000e+000	4.930828e+000
5.714578163364955e-002	5.000000e+000	4.934675e+000
5.724665136137462e-002	5.000000e+000	4.938320e+000
5.734752108909970e-002	5.000000e+000	4.941763e+000
5.744839081682478e-002	5.000000e+000	4.945003e+000
5.754926054454986e-002	5.000000e+000	4.948041e+000
5.765013027227493e-002	5.000000e+000	4.950877e+000
5.775100000000000e-002	5.000000e+000	4.953510e+000
5.775200000000001e-002	0.000000e+000	4.952134e+000
5.784561714285659e-002	0.000000e+000	4.704369e+000
5.793923428571318e-002	0.000000e+000	4.469663e+000
5.803285142856977e-002	0.000000e+000	4.248015e+000
5.812646857142635e-002	0.000000e+000	4.039427e+000
5.822008571428294e-002	0.000000e+000	3.843897e+000
5.831370285713953e-002	0.000000e+000	3.661427e+000
5.840731999999611e-002	0.000000e+000	3.492015e+000
5.906267999999222e-002	0.000000e+000	2.474346e+000
5.984580737154152e-002	0.000000e+000	1.599997e+000
6.056309279964697e-002	0.000000e+000	1.061837e+000
6.124898682636492e-002	0.000000e+000	7.200691e-001
6.192210877217848e-002	0.000000e+000	4.931971e-001
6.261334907711866e-002	0.000000e+000	3.346524e-001
6.330108771392425e-002	0.000000e+000	2.272990e-001
6.399407750779144e-002	0.000000e+000	1.539248e-001
6.468059038027110e-002	0.000000e+000	1.045959e-001
6.481569374761348e-002	0.000000e+000	9.614703e-002
6.495079711495584e-002	0.000000e+000	8.836087e-002
6.508590048229822e-002	0.000000e+000	8.123737e-002
6.522100384964058e-002	0.000000e+000	7.477652e-002
6.535610721698296e-002	0.000000e+000	6.897833e-002
6.549121058432532e-002	0.000000e+000	6.384280e-002
6.562631395166770e-002	0.000000e+000	5.936992e-002
6.580588371000820e-002	0.000000e+000	5.368296e-002
6.600000000000000e-002	0.000000e+000	4.818197e-002
6.600014285714285e-002	7.142857e-001	4.822199e-002
6.600028571428572e-002	1.428571e+000	4.831375e-002
6.600042857142857e-002	2.142857e+000	4.845723e-002
6.600057142857144e-002	2.857143e+000	4.865246e-002
6.600071428571429e-002	3.571429e+000	4.889941e-002
6.600085714285715e-002	4.285714e+000	4.919810e-002
6.600100000000000e-002	5.000000e+000	4.954853e-002
6.603096967136292e-002	5.000000e+000	1.310571e-001
6.606093934272582e-002	5.000000e+000	2.109873e-001
6.609090901408873e-002	5.000000e+000	2.893393e-001
6.612087868545165e-002	5.000000e+000	3.661130e-001
6.615084835681456e-002	5.000000e+000	4.413084e-001
6.618081802817746e-002	5.000000e+000	5.149254e-001
6.621078769954038e-002	5.000000e+000	5.869642e-001
6.642060101105726e-002	5.000000e+000	1.054183e+000
6.684022763409103e-002	5.000000e+000	1.833089e+000
6.751963128102211e-002	5.000000e+000	2.798409e+000
6.826625247027204e-002	5.000000e+000	3.535255e+000
6.920201461882879e-002	5.000000e+000	4.121369e+000
7.020201461882879e-002	5.000000e+000	4.500034e+000
7.120201461882879e-002	5.000000e+000	4.717411e+000
7.220201461882879e-002	5.000000e+000	4.840276e+000
7.320201461882879e-002	5.000000e+000	4.916257e+000
7.325100000000000e-002	5.000000e+000	4.918894e+000
7.354491228702724e-002	5.000000e+000	4.930828e+000
7.364578196030906e-002	5.000000e+000	4.934675e+000
7.374665163359088e-002	5.000000e+000	4.938320e+000
7.384752130687271e-002	5.000000e+000	4.941763e+000
7.394839098015453e-002	5.000000e+000	4.945003e+000
7.404926065343635e-002	5.000000e+000	4.948041e+000
7.415013032671818e-002	5.000000e+000	4.950877e+000
7.425100000000000e-002	5.000000e+000	4.953510e+000
7.425200000000000e-002	2.102052e-011	4.952140e+000
7.436700548112599e-002	7.306372e-012	4.651288e+000
7.448201096225199e-002	-2.837370e-012	4.368631e+000
7.459701644337798e-002	-9.410706e-012	4.104171e+000
7.471202192450396e-002	-1.241364e-011	3.857907e+000
7.482702740562995e-002	-1.184616e-011	3.629838e+000
7.494203288675595e-002	-7.708284e-012	3.419966e+000
7.505703836788194e-002	0.000000e+000	3.228290e+000
